16
16
3,1,-1,7,8,-1,2,-1,3,1,-1,-1,-1,-1,1,-1
-1,-1,2,7,-1,1,-1,1,-1,-1,2,3,4,-1,4,-1
2,1,-1,7,8,-1,-1,6,-1,5,-1,4,4,1,-1,-1
2,-1,3,-1,7,-1,8,6,1,-1,3,1,7,7,-1,1
-1,-1,-1,-1,3,1,-1,6,5,-1,3,3,-1,-1,3,-1
9,6,-1,-1,-1,3,8,6,1,-1,2,7,-1,2,3,4
9,-1,-1,-1,1,-1,4,4,4,1,-1,1,-1,-1,-1,-1
-1,3,-1,6,2,2,7,7,7,-1,-1,-1,-1,1,-1,-1
-1,1,-1,2,-1,-1,-1,7,1,2,1,2,-1,-1,-1,-1
9,3,-1,-1,-1,8,-1,8,3,2,-1,7,4,-1,4,2
-1,1,3,8,-1,1,-1,-1,3,-1,7,-1,-1,-1,4,1
-1,9,-1,3,3,-1,-1,1,-1,7,-1,-1,-1,-1,-1,2
9,-1,3,-1,-1,6,2,-1,-1,-1,-1,-1,-1,3,4,2
2,-1,-1,2,6,-1,3,-1,-1,-1,-1,7,-1,-1,-1,5
2,1,-1,2,-1,-1,-1,6,6,-1,-1,7,1,5,5,-1
-1,-1,-1,1,2,-1,-1,-1,3,3,-1,-1,7,-1,-1,5
