16
16
2,-1,-1,2,2,-1,2,1,2,2,1,-1,6,6,-1,6
2,6,-1,-1,-1,-1,-1,3,-1,9,9,-1,-1,-1,9,6
-1,6,-1,-1,-1,4,-1,3,-1,-1,1,-1,-1,9,9,-1
-1,-1,1,-1,5,-1,5,1,-1,-1,-1,-1,1,9,-1,-1
-1,6,2,2,6,1,6,-1,-1,-1,-1,1,-1,2,7,-1
-1,-1,1,8,-1,6,-1,-1,5,1,-1,2,-1,-1,1,-1
8,-1,-1,-1,-1,1,3,3,-1,-1,-1,2,-1,-1,-1,-1
1,-1,-1,1,-1,8,6,-1,5,-1,-1,-1,4,-1,-1,7
3,-1,3,6,6,6,6,-1,3,2,1,-1,4,6,-1,-1
3,3,2,-1,4,4,-1,3,-1,2,4,2,1,-1,2,3
2,-1,-1,4,4,1,2,-1,-1,1,-1,2,-1,2,1,-1
1,-1,-1,5,5,-1,-1,-1,3,4,4,-1,-1,2,-1,-1
2,2,5,5,4,2,3,2,-1,-1,-1,3,-1,1,6,-1
4,-1,-1,-1,4,-1,1,2,-1,2,2,-1,5,6,6,-1
-1,-1,-1,-1,3,-1,-1,5,5,5,-1,3,3,-1,-1,6
-1,-1,2,-1,-1,-1,-1,1,-1,-1,4,-1,-1,-1,-1,1
