14
14
-1,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,7,-1
-1,-1,-1,3,-1,-1,-1,-1,3,-1,7,7,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,6
-1,-1,-1,-1,-1,-1,1,4,-1,2,1,-1,-1,-1
8,-1,-1,7,1,-1,2,4,2,-1,-1,3,-1,-1
-1,-1,-1,7,3,-1,2,1,-1,-1,4,-1,6,-1
-1,-1,-1,3,2,-1,1,-1,1,-1,-1,-1,3,-1
-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,4,-1
-1,4,-1,-1,-1,3,-1,-1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,-1,-1,-1,4,-1,3,-1,-1,-1
-1,-1,-1,-1,-1,2,6,6,1,-1,2,8,-1,-1
1,8,-1,-1,-1,-1,-1,6,6,1,-1,8,-1,-1
3,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,4,-1,3,-1,2,-1,4,-1,4,-1
