14
14
-1,2,-1,-1,-1,3,-1,-1,-1,1,5,-1,-1,-1
-1,-1,-1,2,3,-1,6,-1,1,-1,1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,8,9,9,9,4,-1,-1
-1,4,1,5,2,-1,-1,-1,-1,-1,1,-1,3,3
-1,6,6,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1
6,-1,-1,-1,5,-1,3,8,-1,2,-1,-1,-1,-1
-1,-1,-1,-1,-1,2,-1,-1,6,-1,5,-1,-1,-1
-1,9,9,-1,-1,-1,-1,-1,1,-1,-1,-1,7,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1
9,-1,-1,3,1,-1,-1,4,-1,-1,2,-1,-1,-1
9,-1,-1,3,-1,-1,3,-1,-1,-1,2,1,-1,-1
5,5,5,4,4,3,-1,-1,-1,-1,-1,-1,-1,-1
-1,1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1
