16
16
1,-1,2,1,4,4,1,-1,-1,-1,-1,-1,-1,-1,1,5
9,9,-1,4,4,1,3,3,-1,-1,-1,-1,4,-1,-1,5
-1,1,-1,1,2,-1,8,-1,8,-1,-1,5,-1,1,-1,-1
-1,9,9,9,-1,-1,8,1,-1,-1,-1,3,-1,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,5,1,5,3
-1,1,-1,3,6,6,-1,-1,-1,-1,-1,-1,-1,-1,5,4
1,8,-1,3,-1,-1,-1,2,9,1,4,6,-1,-1,-1,-1
8,-1,8,-1,-1,3,-1,9,-1,9,-1,-1,1,-1,-1,4
8,1,-1,6,-1,-1,9,2,2,-1,-1,2,3,1,6,1
8,-1,-1,6,-1,-1,-1,-1,4,-1,-1,2,-1,-1,6,-1
-1,-1,1,6,6,1,-1,-1,-1,-1,-1,1,2,-1,-1,2
2,1,3,-1,6,-1,1,5,-1,5,3,-1,4,1,6,-1
1,5,-1,-1,2,3,-1,-1,-1,-1,-1,-1,-1,3,3,1
-1,5,-1,-1,-1,3,-1,4,-1,1,7,-1,2,2,3,2
-1,-1,-1,4,-1,4,2,4,7,-1,7,7,7,4,1,-1
1,5,2,-1,1,4,2,-1,-1,3,-1,-1,4,4,4,1
